Ecorr_400,i_400,Ecorr_493,i_493,Ecorr_625,i_625,Ecorr_816,i_816,Ecorr_1111,i_1111,Ecorr_1600,i_1600,Ecorr_2500,i_2500,Ecorr_3600,i_3600
0.31542641,0.1349044,0.315485482,0.05815433,0.315492743,0.110214,0.315461317,0.09873223,0.31568668,0.1457604,0.315677025,0.1359731,0.315718333,0.1521957,0.315688623,0.205016
0.316452832,0.1332745,0.316476175,0.05797908,0.316503703,0.1104175,0.316455931,0.09998155,0.31669115,0.1452394,0.316702069,0.1356471,0.316717021,0.1532212,0.316687979,0.2023479
0.317460062,0.1323579,0.317469538,0.05848005,0.317491469,0.1090603,0.317454448,0.1002107,0.317669846,0.1459004,0.317688358,0.1376899,0.317686538,0.1509953,0.317674758,0.2004443
0.318476699,0.1350305,0.318484955,0.05733219,0.318477204,0.1106561,0.31843865,0.100449,0.318689733,0.1454893,0.318666295,0.1370087,0.318718224,0.1516021,0.318701118,0.2022049
0.319480523,0.1346567,0.319488175,0.05857768,0.319497663,0.1116389,0.319457383,0.1008487,0.319703841,0.1450651,0.319695942,0.1371606,0.319724671,0.1527117,0.319674857,0.2019419
0.320446913,0.1355011,0.320463884,0.05965019,0.320493311,0.1109514,0.320451591,0.1009632,0.320671944,0.1453029,0.320685328,0.1383067,0.320682089,0.152222,0.320671676,0.1995351
0.321473224,0.1338182,0.321489705,0.0590387,0.321500527,0.1094452,0.321440383,0.1012077,0.321716981,0.1454602,0.321674205,0.1365239,0.321721092,0.151801,0.321709747,0.2004507
0.322479469,0.1361262,0.322488232,0.05788514,0.322492724,0.1120218,0.322475103,0.1000578,0.322711579,0.1455216,0.322706896,0.1368287,0.322718003,0.1525729,0.322691129,0.1990843
0.323454651,0.1366762,0.323477875,0.05827817,0.323500075,0.1105539,0.323465808,0.09975564,0.32368934,0.1455449,0.323690885,0.1373143,0.323695318,0.1517857,0.323660934,0.1999197
0.324478081,0.1430654,0.324479036,0.0581823,0.324477764,0.1116386,0.324466556,0.09906817,0.324709324,0.1450755,0.324687779,0.1357014,0.324716513,0.1529263,0.324705484,0.2000695
0.325493327,0.1313608,0.325487262,0.05834611,0.325503145,0.1120687,0.325480313,0.09879473,0.325713651,0.1442807,0.325709499,0.1385635,0.325705152,0.153322,0.325656195,0.2103024
0.326447816,0.1354996,0.326459013,0.05837525,0.326482357,0.1122412,0.326474951,0.09757438,0.326700186,0.1447991,0.326694344,0.136441,0.326691442,0.1524896,0.326667143,0.2032079
0.327495147,0.13087,0.327478282,0.05845412,0.327487735,0.1110568,0.327464005,0.09736256,0.327728862,0.1442144,0.327706969,0.1370248,0.327720568,0.1557676,0.327701988,0.2053967
0.328347404,0.1562249,0.328475048,0.05841448,0.328503364,0.1109795,0.328460006,0.09945723,0.32872211,0.1464012,0.328716255,0.1371525,0.328683845,0.1579372,0.328703416,0.2024456
0.329496481,0.1154602,0.329476064,0.05810553,0.329496215,0.1103502,0.329476347,0.09697791,0.329688444,0.1450635,0.329704421,0.1379516,0.329655613,0.1569983,0.329683025,0.2027397
0.330481763,0.1105609,0.330466269,0.05786288,0.330482183,0.1097709,0.330450774,0.09767996,0.330723722,0.1454959,0.330690474,0.1389974,0.330714142,0.1543463,0.330710916,0.2031041
