name,A,mu,sigma,baseline,r2,S_exp,S_theory,notes
sample_03282,3.621091993355936,156.54209614829566,21.768767804070052,2.8018708903818825,60.15486092229582,0.09116673449973145,0.08829984370320088,
sample_03283,3.792280043415187,156.69146569862866,21.115106614485878,2.727489102554565,70.81961591259233,0.10138072873423842,0.09360779141201703,
sample_03284,4.0411697371137425,157.21290705234517,21.060043760935127,2.577724679837811,76.15319804132736,0.11049209017503159,0.10353977528415659,
sample_03285,4.204311086898251,157.29757284786757,20.781898119118477,2.515505694824957,68.83005461841216,0.11512037953777643,0.10876399909212653,
sample_03286,4.136566221107032,157.9869653596843,20.828177746223652,2.5087053679083944,68.08618433876214,0.1143673401165729,0.10864653919675249,
sample_03287,4.071017145869885,159.60418888833334,21.291080188982193,2.538581956761807,57.603236899693,0.11832872558913032,0.10873497194708259,
sample_03288,3.9711951484375576,160.31595064427893,21.36119914681801,2.465264328000269,66.08394362078512,0.11630589226647559,0.1100208415202174,
sample_03289,3.917289883231525,164.37507290088678,21.064623543902936,2.5225126012207957,72.27919869547007,0.1256856503015159,0.10984006333156293,
sample_03290,4.115998598970883,165.17057193309833,20.11701212745823,2.4725967350467526,81.31416202637891,0.1289810082556615,0.11416399667654342,
sample_03291,4.041691462191815,164.63740696258327,20.63952575155832,2.462408960740508,84.69804451179542,0.12659824007982579,0.11399041608422389,
sample_03292,3.702101939059332,166.56989886171928,20.300821755624362,2.5868960785419466,81.94831804402553,0.12030422357884751,0.1017040796409796,
sample_03293,3.0197299909867885,347.09738487201906,19.901898329397287,2.7296415763015056,75.49330134302502,0.09354123589811958,0.08075771477655924,
sample_03294,3.021481238006576,349.6854037731301,19.57172138733523,2.843322834894419,108.15659110539602,0.09509173685514627,0.07678108260579064,
sample_03295,2.724537378320714,349.3884196759075,21.442371130815935,2.8957175274406364,100.00359163292569,0.0906013467429152,0.0738743982269543,
sample_03296,2.742644959662609,174.3126773289687,20.39909290732464,2.803949084472631,179.91766155350507,0.0976906811581344,0.07345663285562232,
sample_03297,2.479305461175979,350.88207620408286,22.849419215672196,2.8107002520742594,78.28833077110374,0.08135704377362973,0.07303922595152845,
sample_03298,2.116951151946277,168.33784727758876,25.081649695912876,2.9556674962599567,80.18049631906584,0.07738233858715193,0.06312556963013716,
sample_03299,2.3780826733158027,167.83338899337153,23.06755344661518,3.0398302532327097,67.66829218497,0.08392039252468009,0.06537768116267406,
