name,X,Y,A,mu,sigma,baseline,S_exp,S_theory,FWHM,G2,eta,r2,notes
sample_01801,0,8,1.041406430147111,22.07769633572908,2.3134739787048724,4.725690918989203,0.0088037732371408,0.0032606203526678,0.0950823070217212,0.0038448331107000353,0.7762323350271453,1258.7393404465413,check
sample_01802,0,9,1.6711075323841302,127.91024545863608,20.533971374751857,4.2093864200177,0.0103322218940137,-0.0010511157138118,0.8439331449590766,0.2855554288774474,0.28081383750091676,660.0214365604045,check
sample_01803,1,9,0.3487459061031697,126.81381947494634,27.93593214955973,4.57254456280633,0.0019574759986269,-0.0016086640389569,1.148149018330178,0.5020622184348801,0.2074608113194312,284.5081819723248,
sample_01804,2,9,1.4421814891827025,102.92838693503928,20.85541826561605,4.624152468351884,-0.0215215439496735,-0.0346382297844219,0.8571444074369182,0.29400790495037904,0.2768387865395723,1047.3952096952175,check
sample_01805,3,9,1.307408256294315,101.78025041206656,24.411859985236045,4.627118197146447,-0.0357664225847218,-0.0328063273243081,1.0033118969364423,0.39367270100895846,0.23804947627832967,376.9679292239088,check
sample_01806,4,9,0.3462695558642527,143.9597736999703,1.0063659868931845,5.06346619435138,-0.0067032629638652,0.0004231285168243,0.041361001084422394,0.0007279900738598543,0.8684913470659194,413.7913798788214,check
sample_01807,5,9,0.0,0.0,180.0,5.103065415641236,-0.0154808646574938,-1.5909729340624068e-06,3.141592653589793,1.7024143839193155,0.08866814157641126,499.9273048203903,check
sample_01808,6,9,0.741529298418776,156.50713720654602,44.95318433024897,5.424274163970322,-0.0073230156392,0.008473052122503,1.8475472442899783,1.083783934930715,0.12506905151477538,1339.6983833298327,check
sample_01809,7,9,0.5111571232802304,111.7038094710256,17.757021440144346,5.179447130598309,-0.0036077667812013,-0.0079029736274642,0.7298022713479051,0.21679715429129431,0.31898871510126847,197.4092706701545,
sample_01810,8,9,0.3132482373718128,50.56377522349959,17.2573091634581,5.109236610497717,-0.0035947691418029,0.0005956130233868,0.7092644150539673,0.20527614762060184,0.3266603927244555,178.80167549787245,
sample_01811,9,9,0.6565903632784706,75.59965048389883,26.50819008607045,4.764131082627828,-0.0095772916858467,-0.0158857170207868,1.0894697288814543,0.4571361795524078,0.2190364683295052,146.5792601470177,
sample_01812,10,9,6.297374925171569,157.70511089148852,79.68154327560714,12.089759311172555,-0.0067199040950822,0.0029162332978835,3.141592653589793,1.7024143839193155,0.08866814157641126,262354.48523236345,check
sample_01813,11,9,4.155013120511354,74.16916217275039,81.80527931274246,0.3345081558776807,-0.0033036270738846,-0.0071272107974522,3.141592653589793,1.7024143839193155,0.08866814157641126,72.89611230989534,
sample_01814,12,9,7.48189546934465,76.71202128821761,82.82167353210369,-3.589900384411969,-0.0064902547271529,-0.0123168618664676,3.141592653589793,1.7024143839193155,0.08866814157641126,69.20705488871127,
sample_01815,13,9,0.2083209173618828,132.33927120395526,1.084953266420592,5.0263887352812535,-0.012253434723688,0.0001291657295161,0.04459088821901205,0.0008461075558662158,0.8619389676905808,142.42642397531137,
sample_01816,14,9,0.546403905282041,102.39111959010911,5.432456776464586,5.066798706456721,-0.0069144046486307,-0.0051720008781745,0.2232705134601079,0.021128232112017822,0.6244055934408328,126.06348940074184,
sample_01817,15,9,5.833020962193313,78.75859137571743,73.8507911016222,-0.7778585540904518,-0.0156677436634871,-0.0199084546854308,3.0352204770647284,1.6976032013607127,0.08886807725732292,165.35459030230606,
sample_01818,16,9,1.3189334188655428,83.99468510702141,36.62451191117165,4.693292841432559,-0.0301723263930945,-0.0291711660227843,1.5052441125826672,0.7954486290884554,0.1552500714966802,192.3599352176884,
sample_01819,17,9,0.5015365949346717,108.7184421632778,23.440792049076805,5.043855013149104,-0.0157763534510185,-0.0101057408212062,0.9634016232550713,0.3653976327695678,0.24776272389411497,329.3439532311449,
sample_01820,18,9,0.820166915327445,28.902502309223937,3.364228235544901,5.106766914071852,5.198217774005087e-07,0.0036216218462661,0.13826763772908218,0.00812370909720422,0.7177901269709612,298.1796641497444,
sample_01821,19,9,0.6832123940159398,157.21347858874887,25.81197776258261,5.522072434746983,0.0073780597690712,0.0108487581965857,1.0608558458192228,0.43571142507167504,0.2250711271968157,1215.641654705309,check
sample_01822,20,9,1.0661722358666197,76.5890689786187,1.651608425418519,5.226540381370627,-0.0121917721489064,-0.0029779885082203,0.06788005433854868,0.001960301564967789,0.8191893468593793,412.2257512568463,check
sample_01823,21,9,0.972570675243166,34.61102521100987,5.806991596764417,5.03792529428779,0.009937785191027,0.0066991668725376,0.23866365602487097,0.024127672217968677,0.6096910978157714,184.1784044285341,
sample_01824,22,9,1.3267415853904652,165.36417925315988,16.204611498025226,4.835592503075185,0.0342741877735587,0.0188662774292832,0.6659992114912405,0.1819031302950842,0.3437195557257081,416.1330227895899,check
sample_01825,23,9,0.8234416378877808,47.486316027857,4.678952406307414,4.953003661774512,0.0190541382513168,0.0021816598180862,0.19230196377034608,0.015690398074952993,0.6558357006506899,840.7649216174286,check
sample_01826,24,9,1.002174483904418,172.45657395144502,4.53598301417573,4.93103779399264,-0.0097022178498118,0.0025537751388625,0.1864260128141206,0.01474891706710654,0.6621014493695967,268.0791904786082,
